Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,15874.900391,15892.900391,15834.650391,15885.150391,15885.150391,244800
2021-08-03,15951.549805,16146.900391,15914.349609,16130.750000,16130.750000,341300
2021-08-04,16195.250000,16290.200195,16176.150391,16258.799805,16258.799805,427300
2021-08-05,16288.950195,16349.450195,16210.299805,16294.599609,16294.599609,418200
2021-08-06,16304.400391,16336.750000,16223.299805,16238.200195,16238.200195,320100
2021-08-09,16281.349609,16320.750000,16179.049805,16258.250000,16258.250000,240500
2021-08-10,16274.799805,16359.250000,16202.250000,16280.099609,16280.099609,288000
2021-08-11,16327.299805,16338.750000,16162.549805,16282.250000,16282.250000,277900
2021-08-12,16303.650391,16375.500000,16286.900391,16364.400391,16364.400391,280200
2021-08-13,16385.699219,16543.599609,16376.299805,16529.099609,16529.099609,321900
2021-08-16,16518.400391,16589.400391,16480.750000,16563.050781,16563.050781,254000
2021-08-17,16545.250000,16628.550781,16495.400391,16614.599609,16614.599609,297400
2021-08-18,16691.949219,16701.849609,16535.849609,16568.849609,16568.849609,251800
2021-08-20,16382.500000,16509.550781,16376.049805,16450.500000,16450.500000,350800
2021-08-23,16592.250000,16592.500000,16395.699219,16496.449219,16496.449219,275600
2021-08-24,16561.400391,16647.099609,16495.300781,16624.599609,16624.599609,275400
2021-08-25,16654.000000,16712.449219,16617.500000,16634.650391,16634.650391,265900
2021-08-26,16627.949219,16683.699219,16603.400391,16636.900391,16636.900391,253500
2021-08-27,16642.550781,16722.050781,16565.599609,16705.199219,16705.199219,217400
2021-08-30,16775.849609,16951.500000,16764.849609,16931.050781,16931.050781,283500
2021-08-31,16947.500000,17153.500000,16915.849609,17132.199219,17132.199219,464400
2021-09-01,17185.599609,17225.750000,17055.050781,17076.250000,17076.250000,301900
2021-09-02,17095.400391,17245.500000,17059.699219,17234.150391,17234.150391,242400
2021-09-03,17262.449219,17340.099609,17212.199219,17323.599609,17323.599609,261400
2021-09-06,17399.349609,17429.550781,17345.550781,17377.800781,17377.800781,228000
2021-09-07,17401.550781,17436.500000,17287.000000,17362.099609,17362.099609,243400
2021-09-08,17375.750000,17383.400391,17254.199219,17353.500000,17353.500000,252700
2021-09-09,17312.849609,17379.650391,17302.699219,17369.250000,17369.250000,241500
2021-09-13,17363.550781,17378.349609,17269.150391,17355.300781,17355.300781,241100
2021-09-14,17420.349609,17438.550781,17367.050781,17380.000000,17380.000000,230400
2021-09-15,17387.650391,17532.699219,17386.900391,17519.449219,17519.449219,388200
2021-09-16,17539.199219,17644.599609,17510.449219,17629.500000,17629.500000,503300
2021-09-17,17709.650391,17792.949219,17537.650391,17585.150391,17585.150391,508300
2021-09-20,17443.849609,17622.750000,17361.800781,17396.900391,17396.900391,339100
2021-09-21,17450.500000,17578.349609,17326.099609,17562.000000,17562.000000,363600
2021-09-22,17580.900391,17610.449219,17524.000000,17546.650391,17546.650391,295200
2021-09-23,17670.849609,17843.900391,17646.550781,17822.949219,17822.949219,320500
2021-09-24,17897.449219,17947.650391,17819.400391,17853.199219,17853.199219,360100
2021-09-27,17932.199219,17943.500000,17802.900391,17855.099609,17855.099609,295700
2021-09-28,17906.449219,17912.849609,17576.099609,17748.599609,17748.599609,398000
2021-09-29,17657.949219,17781.750000,17608.150391,17711.300781,17711.300781,562200
2021-09-30,17718.900391,17742.150391,17585.349609,17618.150391,17618.150391,378600
2021-10-01,17531.900391,17557.150391,17452.900391,17532.050781,17532.050781,305800
2021-10-04,17615.550781,17750.900391,17581.349609,17691.250000,17691.250000,295800
2021-10-05,17661.349609,17833.449219,17640.900391,17822.300781,17822.300781,427000
2021-10-06,17861.500000,17884.599609,17613.150391,17646.000000,17646.000000,395800
2021-10-07,17810.550781,17857.550781,17763.800781,17790.349609,17790.349609,419900
2021-10-08,17886.849609,17941.849609,17840.349609,17895.199219,17895.199219,324100
2021-10-11,17867.550781,18041.949219,17839.099609,17945.949219,17945.949219,375800
2021-10-12,17915.800781,18008.650391,17864.949219,17991.949219,17991.949219,355600
2021-10-13,18097.849609,18197.800781,18050.750000,18161.750000,18161.750000,506700
2021-10-14,18272.849609,18350.750000,18248.699219,18338.550781,18338.550781,538700
2021-10-18,18500.099609,18543.150391,18445.300781,18477.050781,18477.050781,469900
2021-10-19,18602.349609,18604.449219,18377.699219,18418.750000,18418.750000,368200
2021-10-20,18439.900391,18458.300781,18209.349609,18266.599609,18266.599609,371300
2021-10-21,18382.699219,18384.199219,18048.000000,18178.099609,18178.099609,365900
2021-10-22,18230.699219,18314.250000,18034.349609,18114.900391,18114.900391,324700
2021-10-25,18229.500000,18241.400391,17968.500000,18125.400391,18125.400391,418700
2021-10-26,18154.500000,18310.449219,18099.300781,18268.400391,18268.400391,341400
2021-10-27,18295.849609,18342.050781,18167.900391,18210.949219,18210.949219,335200
2021-10-28,18187.650391,18190.699219,17799.449219,17857.250000,17857.250000,374200
2021-10-29,17833.050781,17915.849609,17613.099609,17671.650391,17671.650391,336500
2021-11-01,17783.150391,17954.099609,17697.099609,17929.650391,17929.650391,281200
2021-11-02,17970.900391,18012.250000,17847.599609,17888.949219,17888.949219,296400
2021-11-03,17947.949219,17988.750000,17757.949219,17829.199219,17829.199219,331000
2021-11-04,17935.050781,17947.550781,17900.599609,17916.800781,17916.800781,48500
2021-11-08,18040.199219,18087.800781,17836.099609,18068.550781,18068.550781,338900
2021-11-09,18084.349609,18112.599609,17983.050781,18044.250000,18044.250000,270200
2021-11-10,17973.449219,18061.250000,17915.000000,18017.199219,18017.199219,261400
2021-11-11,17967.449219,17971.349609,17798.199219,17873.599609,17873.599609,232100
2021-11-12,17977.599609,18123.000000,17905.900391,18102.750000,18102.750000,249100
2021-11-15,18140.949219,18210.150391,18071.300781,18109.449219,18109.449219,280400
2021-11-16,18127.050781,18132.650391,17958.800781,17999.199219,17999.199219,267400
2021-11-17,17939.349609,18022.650391,17879.250000,17898.650391,17898.650391,295700
2021-11-18,17890.550781,17945.599609,17688.500000,17764.800781,17764.800781,278400
2021-11-22,17796.250000,17805.250000,17280.449219,17416.550781,17416.550781,356400
2021-11-23,17281.750000,17553.699219,17216.099609,17503.349609,17503.349609,308800
2021-11-24,17550.050781,17600.599609,17354.000000,17415.050781,17415.050781,298100
2021-11-25,17417.300781,17564.349609,17351.699219,17536.250000,17536.250000,255900
2021-11-26,17338.750000,17355.400391,16985.699219,17026.449219,17026.449219,356300
2021-11-29,17055.800781,17160.699219,16782.400391,17053.949219,17053.949219,348900
