Common Date,Brazil,Indonesia,Mexico,India,China
22-12-2021,105244,6529.592773,52403.05078,16955.44922,3622.620117
23-12-2021,104891,6555.550781,52650.91016,17072.59961,3643.340088
27-12-2021,105531,6575.443848,53259.55859,17086.25,3615.969971
28-12-2021,104864,6598.342773,53238.48047,17233.25,3630.112061
29-12-2021,104107,6600.676758,52748.92969,17213.59961,3597
30-12-2021,104822,6581.481934,53175.25,17203.94922,3619.189941
04-01-2022,103514,6695.373047,53016.78125,17805.25,3632.330078
05-01-2022,101006,6662.298828,53024.14844,17925.25,3595.179932
06-01-2022,101561,6653.351074,53055.30859,17745.90039,3586.080078
07-01-2022,102719,6701.315918,53202.10938,17812.69922,3579.540039
10-01-2022,101945,6691.124023,52835.76172,18003.30078,3593.52002
11-01-2022,103779,6647.970215,53061.92188,18055.75,3567.439941
12-01-2022,105686,6647.064941,53951.14063,18212.34961,3597.429932
13-01-2022,105530,6658.355957,53930.44922,18257.80078,3555.26001
14-01-2022,106928,6693.400879,53744.92188,18255.75,3521.26001
17-01-2022,106692,6645.047852,53973.26953,18308.09961,3541.669922
18-01-2022,106522,6614.059082,53232.19922,18113.05078,3569.909912
19-01-2022,108013,6591.980957,52823.23047,17938.40039,3558.179932
20-01-2022,109102,6626.871094,52508.35156,17757,3555.060059
21-01-2022,108942,6726.373047,51599.37891,17617.15039,3522.570068
24-01-2022,107752,6655.166016,50890.58984,17149.09961,3524.110107
25-01-2022,109845,6568.172852,51104.39063,17277.94922,3433.060059
27-01-2022,112315,6611.161133,50466.01953,17110.15039,3394.25
28-01-2022,111478,6645.51123,50661.85938,17101.94922,3361.439941
08-02-2022,112234,6789.521973,52294.57813,17266.75,3452.629883
09-02-2022,112461,6834.605957,52761.91016,17463.80078,3479.949951
10-02-2022,113359,6823.64209,52599.57813,17605.84961,3485.909912
11-02-2022,113572,6815.606934,53229.26172,17374.75,3462.949951
14-02-2022,113807,6734.48584,52334.73047,16842.80078,3428.879883
15-02-2022,114660,6807.49707,53210.94141,17352.44922,3446.090088
16-02-2022,115181,6850.198242,53680.85938,17322.19922,3465.830078
17-02-2022,113528,6835.117188,52712.05859,17304.59961,3468.040039
18-02-2022,112768,6892.817871,52281.53125,17276.30078,3490.76001
21-02-2022,111725,6902.964844,52025.17969,17206.65039,3490.610107
22-02-2022,112892,6861.994141,52600.44922,17092.19922,3457.149902
23-02-2022,112008,6920.056152,51362.94922,17063.25,3489.149902
24-02-2022,111592,6817.819824,51454.05078,16247.9502,3429.959961
25-02-2022,113142,6888.170898,52555.60156,16658.40039,3451.409912
02-03-2022,115174,6868.401855,53300.66016,16605.94922,3484.189941
04-03-2022,114474,6928.328125,53322.05078,16245.34961,3447.649902
07-03-2022,111593,6869.065918,52312.60938,15863.15039,3372.860107
08-03-2022,111203,6814.183105,53288.23047,16013.4502,3293.530029
09-03-2022,113900,6864.440918,53911.76172,16345.34961,3256.389893
10-03-2022,113663,6924.007813,53387.62109,16594.90039,3296.090088
11-03-2022,111713,6922.602051,53300.69922,16630.44922,3309.75
14-03-2022,109928,6952.204102,52807.62109,16871.30078,3223.530029
15-03-2022,108959,6918.185059,53010.01172,16663,3063.969971
16-03-2022,111112,6992.39502,53411.87891,16975.34961,3170.709961
17-03-2022,113076,6964.384766,54364.51172,17287.05078,3215.040039
22-03-2022,117272,7000.821777,55722.48047,17315.5,3259.860107
23-03-2022,117457,6996.115234,55154.67969,17245.65039,3271.030029
24-03-2022,119053,7049.685059,55829.85938,17222.75,3250.26001
25-03-2022,119081,7002.532227,55436.05078,17153,3212.23999
28-03-2022,118738,7049.603027,55685.14063,17222,3214.5
29-03-2022,120014,7011.688965,56111.21094,17325.30078,3203.939941
30-03-2022,120260,7053.189941,55814.98828,17498.25,3266.600098
31-03-2022,119999,7071.441895,56536.67969,17464.75,3252.199951
01-04-2022,121570,7078.759766,56609.53906,17670.44922,3282.719971
06-04-2022,118228,7104.21582,55438.73047,17807.65039,3283.429932
07-04-2022,118862,7127.367188,55280.58984,17639.55078,3236.699951
08-04-2022,118322,7210.834961,54687.25,17784.34961,3251.850098
11-04-2022,116953,7203.793945,54463.82813,17674.94922,3167.129883
12-04-2022,116147,7214.780762,53907.25,17530.30078,3213.330078
13-04-2022,116782,7262.776855,54172.62109,17475.65039,3186.820068
18-04-2022,115687,7275.289063,54139.69141,17173.65039,3195.52002
19-04-2022,115057,7199.231934,54633.76172,16958.65039,3194.030029
20-04-2022,114344,7227.361816,53831.03906,17136.55078,3151.050049
